well,row,column,sample,assay,assayType,replicate,cp,tm1,tm2,meltGroup,meltScore,meltResolution,layoutChanged,originalSample,manualNote
A1,A,1,Mock,GAPDH,Reference,1,16.46,85.94,,1,0.89,0.49,false,Mock,
A2,A,2,Mock,GAPDH,Reference,2,16.51,85.99,,1,0.88,0.49,false,Mock,
A3,A,3,Mock,GAPDH,Reference,3,16.5,85.99,,1,0.87,0.49,false,Mock,
A4,A,4,Mock,GAPDH,Reference,4,16.45,86.02,,1,0.88,0.49,false,Mock,
A5,A,5,Mock,TBP,Reference,1,25.2,80.26,,1,0.99,0.2,false,Mock,
A6,A,6,Mock,TBP,Reference,2,25.36,80.27,,1,0.98,0.18,false,Mock,
A7,A,7,Mock,TBP,Reference,3,25.31,80.25,,1,0.97,0.15,false,Mock,
A8,A,8,Mock,TBP,Reference,4,25.45,80.24,,1,0.98,0.18,false,Mock,
A9,A,9,Mock,FBN2-1,Target,1,23.92,79.25,,2,0.96,0.47,false,Mock,
A10,A,10,Mock,FBN2-1,Target,2,24.01,79.35,,2,0.96,0.44,false,Mock,列10：修正板图备注‘可能加了两遍cDNA’，范围需实验记录确认
A11,A,11,Mock,FBN2-1,Target,3,23.86,79.34,,2,0.94,0.45,false,Mock,
A12,A,12,Mock,FBN2-1,Target,4,23.9,79.34,,2,0.97,0.44,false,Mock,
A13,A,13,Mock,FBN2-2,Target,1,24.02,83.59,,1,0.99,0.4,false,Mock,
A14,A,14,NC-FAM,FBN2-2,Target,2,23.66,83.75,,1,0.98,0.49,true,Mock,列14：cDNA样本整体向上错位一位，已按修正板图重映射
A15,A,15,Mock,FBN2-2,Target,3,23.95,83.7,,1,0.99,0.44,false,Mock,
A16,A,16,Mock,FBN2-2,Target,4,24.03,83.74,,1,0.99,0.45,false,Mock,
A17,A,17,Mock,ZNF436-1,Target,1,27.54,77.8,,2,0.98,0.74,false,Mock,
A18,A,18,Mock,ZNF436-1,Target,2,27.56,77.87,,2,0.98,0.77,false,Mock,
A19,A,19,Mock,ZNF436-1,Target,3,27.64,77.98,,2,0.99,0.77,false,Mock,
A20,A,20,Mock,ZNF436-1,Target,4,27.74,77.95,,2,0.97,0.73,false,Mock,
A21,A,21,Mock,ZNF436-2,Target,1,26.99,73.76,,3,0.74,0.68,false,Mock,
A22,A,22,Mock,ZNF436-2,Target,2,25.59,73.22,,3,0.99,0.99,false,Mock,
A23,A,23,Mock,ZNF436-2,Target,3,26.78,73.25,,3,0.92,0.91,false,Mock,
A24,A,24,Mock,ZNF436-2,Target,4,25.49,73.16,,3,0.99,0.99,false,Mock,
B1,B,1,siZNF436-3,GAPDH,Reference,1,16.37,85.91,,1,0.85,0.5,false,siZNF436-3,
B2,B,2,siZNF436-3,GAPDH,Reference,2,16.52,85.96,,1,0.87,0.5,false,siZNF436-3,
B3,B,3,siZNF436-3,GAPDH,Reference,3,16.25,85.96,,1,0.87,0.5,false,siZNF436-3,
B4,B,4,siZNF436-3,GAPDH,Reference,4,16.44,85.94,,1,0.89,0.5,false,siZNF436-3,
B5,B,5,siZNF436-3,TBP,Reference,1,25.12,80.22,,1,0.98,0.18,false,siZNF436-3,
B6,B,6,siZNF436-3,TBP,Reference,2,24.99,80.25,,1,0.98,0.18,false,siZNF436-3,
B7,B,7,siZNF436-3,TBP,Reference,3,25.27,80.21,,1,0.98,0.17,false,siZNF436-3,
