sample,assay,meanTargetCt,meanGapdhCt,meanTbpCt,meanRefCt,deltaCt,ddCtVsNcFam,relativeVsNcFam,apparentKnockdownVsNcFam,ddCtVsMock,relativeVsMock
Mock,FBN2-1,23.9225,16.48,25.330000000000002,20.905,3.0174999999999983,-0.12750000000000128,1.092399076817499,-0.09239907681749893,0,1
Mock,FBN2-2,23.9725,16.48,25.330000000000002,20.905,3.067499999999999,-0.13500000000000512,1.0980928137870536,-0.09809281378705359,0,1
Mock,ZNF436-1,27.619999999999997,16.48,25.330000000000002,20.905,6.714999999999996,-0.09500000000000242,1.0680654080478533,-0.06806540804785333,0,1
Mock,ZNF436-2,26.2125,16.48,25.330000000000002,20.905,5.307499999999997,-1.1125000000000043,2.162200035668534,-1.1622000356685338,0,1
NC-FAM,FBN2-1,23.505,15.92,24.799999999999997,20.36,3.1449999999999996,0,1,0,0.12750000000000128,0.9154163722962065
NC-FAM,FBN2-2,23.562500000000004,15.92,24.799999999999997,20.36,3.202500000000004,0,1,0,0.13500000000000512,0.9106698335919752
NC-FAM,ZNF436-1,27.169999999999998,15.92,24.799999999999997,20.36,6.809999999999999,0,1,0,0.09500000000000242,0.9362722474344907
NC-FAM,ZNF436-2,26.78,15.92,24.799999999999997,20.36,6.420000000000002,0,1,0,1.1125000000000043,0.46249189876218294
siZNF436-3,FBN2-1,23.21,16.395,25.115,20.755,2.455000000000002,-0.6899999999999977,1.61328351844425,-0.61328351844425,-0.5624999999999964,1.4768261459394956
siZNF436-3,FBN2-2,23.822499999999998,16.395,25.115,20.755,3.067499999999999,-0.13500000000000512,1.0980928137870536,-0.09809281378705359,0,1
siZNF436-3,ZNF436-1,29.455000000000002,16.395,25.115,20.755,8.700000000000003,1.8900000000000041,0.26980705912610603,0.730192940873894,1.9850000000000065,0.2526128616216898
siZNF436-3,ZNF436-2,25.7825,16.395,25.115,20.755,5.0275,-1.3925000000000018,2.6253322223475175,-1.6253322223475175,-0.2799999999999976,1.2141948843950447
siFBN2-1,FBN2-1,23.65,16.095,25.0075,20.55125,3.098749999999999,-0.04625000000000057,1.032577452018252,-0.03257745201825202,0.08125000000000071,0.9452383052414086
siFBN2-1,FBN2-2,23.697499999999998,16.095,25.0075,20.55125,3.1462499999999984,-0.056250000000005684,1.0397595961732078,-0.03975959617320779,0.07874999999999943,0.9468776984227145
siFBN2-1,ZNF436-1,27.6075,16.095,25.0075,20.55125,7.056250000000002,0.2462500000000034,0.8430850020931256,0.15691499790687435,0.3412500000000058,0.7893570896880431
siFBN2-1,ZNF436-2,26.67,16.095,25.0075,20.55125,6.118750000000002,-0.3012499999999996,1.2322115809420022,-0.23221158094200223,0.8112500000000047,0.5698878737466179
siZNF436-4,FBN2-1,24.265,16.835,25.572499999999998,21.20375,3.061250000000001,-0.08374999999999844,1.0597691234898239,-0.05976912348982388,0.04375000000000284,0.9701300064965852
siZNF436-4,FBN2-2,24.6125,16.835,25.572499999999998,21.20375,3.4087500000000013,0.20624999999999716,0.866787347698305,0.133212652301695,0.3412500000000023,0.789357089688045
siZNF436-4,ZNF436-1,29.9075,16.835,25.572499999999998,21.20375,8.70375,1.8937500000000007,0.2691066597863982,0.7308933402136017,1.9887500000000031,0.2519570971577999
