sample,assay,wells,detected,meanCp,cpSd,cpRange,meanTm,tmRange,meltGroups,meanMeltScore,status,issues
Mock,GAPDH,A1;A2;A3;A4,4,16.48,0.029439202887760068,0.060000000000002274,85.985,0.0799999999999983,1,0.88,PASS,
Mock,TBP,A5;A6;A7;A8,4,25.330000000000002,0.10424330514074598,0.25,80.255,0.030000000000001137,1,0.98,PASS,
Mock,FBN2-1,A9;A10;A11;A12,4,23.9225,0.06344288770224865,0.15000000000000213,79.32,0.09999999999999432,2,0.9575,REVIEW,列10人工备注
Mock,FBN2-2,A13;O14;A15;A16,4,23.9725,0.06551081335677857,0.14000000000000057,83.64750000000001,0.1799999999999926,1,0.9775,REVIEW,列14已重映射
Mock,ZNF436-1,A17;A18;A19;A20,4,27.619999999999997,0.09092121131323892,0.1999999999999993,77.9,0.18000000000000682,2,0.98,PASS,
Mock,ZNF436-2,A21;A22;A23;A24,4,26.2125,0.7823202668984106,1.5,73.3475,0.6000000000000085,3,0.9099999999999999,FAIL,Cp复孔SD>0.50;Tm复孔范围>0.50°C
NC-FAM,GAPDH,C1;C2;C3;C4,4,15.92,0.008164965809277086,0.019999999999999574,86.0075,0.03999999999999204,1,0.875,PASS,
NC-FAM,TBP,C5;C6;C7;C8,4,24.799999999999997,0.09055385138137288,0.2099999999999973,80.31,0.0799999999999983,1,0.9774999999999999,PASS,
NC-FAM,FBN2-1,C9;C10;C11;C12,4,23.505,0.023804761428476654,0.05000000000000071,79.3375,0.09000000000000341,2,0.9550000000000001,REVIEW,列10人工备注
NC-FAM,FBN2-2,C13;A14;C15;C16,4,23.562500000000004,0.08261355820929134,0.17999999999999972,83.7825,0.15000000000000568,1,0.9475,REVIEW,列14已重映射
NC-FAM,ZNF436-1,C17;C18;C19;C20,4,27.169999999999998,0.1572683481611389,0.29999999999999716,77.9325,0.15000000000000568,2,0.9825,PASS,
NC-FAM,ZNF436-2,C21;C22;C23;C24,4,26.78,0.049665548085837695,0.10999999999999943,73.87750000000001,0.7099999999999937,3;Unknown,0.7375,FAIL,Tm复孔范围>0.50°C;熔解聚类不一致
siZNF436-3,GAPDH,B1;B2;B3;B4,4,16.395,0.11445523142259591,0.2699999999999996,85.9425,0.04999999999999716,1,0.87,PASS,
siZNF436-3,TBP,B5;B6;B7;B8,4,25.115,0.11676186592091385,0.28000000000000114,80.22,0.04999999999999716,1,0.9824999999999999,PASS,
siZNF436-3,FBN2-1,B9;B10;B11;B12,4,23.21,0.669477408132642,1.259999999999998,79.2975,0.10000000000000853,2,0.9575,FAIL,Cp复孔SD>0.50;列10人工备注
siZNF436-3,FBN2-2,B13;B14;B15;B16,4,23.822499999999998,0.027537852736431483,0.060000000000002274,83.595,0.0899999999999892,1,0.9875,REVIEW,列14已重映射
siZNF436-3,ZNF436-1,B17;B18;B19;B20,4,29.455000000000002,0.2245736701693525,0.46999999999999886,77.02250000000001,0.269999999999996,3,0.855,PASS,
siZNF436-3,ZNF436-2,B21;B22;B23;B24,4,25.7825,0.06849574196011479,0.14999999999999858,73.1525,0.060000000000002274,3,0.99,PASS,
siFBN2-1,GAPDH,E1;E2;E3;E4,4,16.095,0.010000000000001563,0.020000000000003126,85.99000000000001,0.04999999999999716,1,0.8724999999999999,PASS,
siFBN2-1,TBP,E5;E6;E7;E8,4,25.0075,0.09945685831890416,0.21999999999999886,80.275,0.04000000000000625,1,0.98,PASS,
siFBN2-1,FBN2-1,E9;E10;E11;E12,4,23.65,0.0483045891539645,0.10999999999999943,79.3175,0.09999999999999432,2,0.965,REVIEW,列10人工备注
siFBN2-1,FBN2-2,E13;C14;E15;E16,4,23.697499999999998,0.05251983752196236,0.120000000000001,83.7525,0.15000000000000568,1,0.955,REVIEW,列14已重映射
siFBN2-1,ZNF436-1,E17;E18;E19;E20,4,27.6075,0.15564382416273345,0.379999999999999,77.8975,0.18999999999999773,2,0.9774999999999999,PASS,
siFBN2-1,ZNF436-2,E21;E22;E23;E24,4,26.67,0.6683811287980328,1.3999999999999986,73.6825,1.3699999999999903,3;Unknown,0.7825000000000001,FAIL,Cp复孔SD>0.50;Tm复孔范围>0.50°C;熔解聚类不一致
siZNF436-4,GAPDH,D1;D2;D3;D4,4,16.835,0.04932882862316155,0.11999999999999744,85.91,0.04000000000000625,1,0.885,PASS,
siZNF436-4,TBP,D5;D6;D7;D8,4,25.572499999999998,0.06075908711186081,0.10999999999999943,80.22,0.0799999999999983,1,0.9825,PASS,
